

CHEMBL260	Q16539




CHEMBL221	P23219
CHEMBL4439	P36897
CHEMBL1906	P04049
CHEMBL4179	P45984
CHEMBL258	P06239
CHEMBL203	P00533



CHEMBL3961	Q15759

CHEMBL215	P09917
CHEMBL312	P12527

CHEMBL3290	P29323
CHEMBL5014	O43353
CHEMBL4355	O14976
CHEMBL2828	P48730
CHEMBL267	P12931
CHEMBL2637	P53779

CHEMBL4128	Q02763



CHEMBL6051	Q5SC61
CHEMBL220	P22303
CHEMBL226	P30542
CHEMBL251	P29274
CHEMBL256	P0DMS8
CHEMBL319	P43140
CHEMBL315	P15823
CHEMBL223	P25100
CHEMBL1867	P08913
CHEMBL1942	P18089
CHEMBL1916	P18825
CHEMBL213	P08588
CHEMBL210	P07550
CHEMBL246	P13945
CHEMBL222	P23975
CHEMBL2622	P07943
CHEMBL4607	P50052
CHEMBL3157	P30411
CHEMBL1832	P30988
CHEMBL218	P21554
CHEMBL205	P00918
CHEMBL4015	P41597
CHEMBL2414	P51679
CHEMBL274	P51681
CHEMBL4029	P25024
CHEMBL2434	P25025
CHEMBL1901	P32238
CHEMBL230	P35354
CHEMBL3356	P05177
CHEMBL5282	P11509
CHEMBL3622	P33261
CHEMBL3397	P11712
CHEMBL289	P10635
CHEMBL5281	P05181
CHEMBL340	P08684
CHEMBL2056	P21728
CHEMBL217	P14416
CHEMBL234	P35462
CHEMBL219	P21917
CHEMBL238	Q01959
CHEMBL252	P25101
CHEMBL206	P03372
CHEMBL242	Q92731
CHEMBL2034	P04150
CHEMBL3392921	P20781
CHEMBL231	P35367
CHEMBL1941	P25021
CHEMBL402	P04035
CHEMBL5486	P15127
CHEMBL1909043	A6XA80
CHEMBL1798	Q9Y271
CHEMBL4358	P12530
CHEMBL4644	P41968
CHEMBL259	P32245
CHEMBL4608	P33032
CHEMBL1951	P21397
CHEMBL216	P11229
CHEMBL211	P08172
CHEMBL245	P20309
CHEMBL1821	P08173
CHEMBL2035	P08912
CHEMBL4777	P25929
CHEMBL4018	P49146
CHEMBL3048	P29476
CHEMBL3464	P29477
CHEMBL236	P41143
CHEMBL237	P41145
CHEMBL233	P35372
CHEMBL1827	O76074
CHEMBL250	P25105
CHEMBL240	Q12809
CHEMBL1909044	Q690N0
CHEMBL4074	P12822
CHEMBL4801	P29466
CHEMBL4071	P08311
CHEMBL248	P08246
CHEMBL332	P03956
CHEMBL321	P14780
CHEMBL299	P17252
CHEMBL3385	P27361
CHEMBL4040	P28482
CHEMBL4445	Q08209
CHEMBL1841	P06241
CHEMBL1824	P04626
CHEMBL3243	P08575
CHEMBL273	P19327
CHEMBL3459	P28564
CHEMBL224	P28223
CHEMBL1833	P41595
CHEMBL225	P28335
CHEMBL5017	O70528
CHEMBL3371	P50406
CHEMBL228	P31645
CHEMBL287	Q99720
CHEMBL249	P25103
CHEMBL2327	P21452
CHEMBL3072	P15207
CHEMBL1835	P24557
CHEMBL1868	P17948
CHEMBL5144	P32241
CHEMBL1889	P37288


CHEMBL2331044	Q01538
CHEMBL2496	Q64663
CHEMBL4805	Q99572
CHEMBL2939	O15264


CHEMBL1743126	Q96FL8




