
CHEMBL260	Q16539
CHEMBL221	P23219
CHEMBL4439	P36897
CHEMBL1906	P04049
CHEMBL4179	P45984
CHEMBL258	P06239
CHEMBL203	P00533
CHEMBL3961	Q15759
CHEMBL215	P09917
CHEMBL3290	P29323
CHEMBL5014	O43353
CHEMBL4355	O14976
CHEMBL2828	P48730
CHEMBL267	P12931
CHEMBL2637	P53779
CHEMBL4128	Q02763
CHEMBL226	P30542
CHEMBL251	P29274
CHEMBL3356	P05177
CHEMBL3622	P33261
CHEMBL3397	P11712
CHEMBL289	P10635
CHEMBL216	P11229
CHEMBL1827	O76074
CHEMBL1824	P04626
CHEMBL1835	P24557
CHEMBL4805	Q99572
CHEMBL2939	O15264
CHEMBL240	Q12809
CHEMBL1743126	Q96FL8
CHEMBL2094127	O95067
CHEMBL2094126	O96020
CHEMBL2095942	P30279
CHEMBL308	P06493
CHEMBL279	P35968
CHEMBL3589	P55263
CHEMBL1913	P09619
CHEMBL331	P11802
CHEMBL301	P24941
CHEMBL3587	Q02750
CHEMBL1841	P06241
CHEMBL234	P35462
CHEMBL5393	Q9UNQ0
CHEMBL4224	P49759
CHEMBL2208	P49137
CHEMBL1973	P14679
CHEMBL4605	P46059
CHEMBL6020	O95342
CHEMBL5748	Q92887
CHEMBL5918	O15438
CHEMBL1743128	O15439
CHEMBL4459	Q01650
CHEMBL5888	Q99558
CHEMBL230	P35354
CHEMBL2883	P04183
CHEMBL4580	O00142
CHEMBL340	P08684
CHEMBL1868	P17948
CHEMBL1936	P10721
CHEMBL3717	P08581
CHEMBL1957	P08069
CHEMBL1955	P35916
CHEMBL4794	Q8NER1
CHEMBL227	P30556
CHEMBL256	P0DMS8
CHEMBL1942	P18089
CHEMBL246	P13945
CHEMBL222	P23975
CHEMBL2850	P49840
CHEMBL2599	P43405
CHEMBL3797	Q13315
CHEMBL262	P49841
CHEMBL2157	P10145
CHEMBL1900	P15121
CHEMBL2007	P16234
CHEMBL3142	P78527
CHEMBL2731	O60755
CHEMBL1961790	P24468
CHEMBL2803	P43403
CHEMBL1871	P10275
CHEMBL2034	P04150
CHEMBL1994	P08235
CHEMBL208	P06401
CHEMBL2782	P35610
CHEMBL206	P03372
CHEMBL242	Q92731
CHEMBL3849	Q16850
CHEMBL287	Q99720
CHEMBL4302	P08183
CHEMBL1743122	O15244
CHEMBL5685	O15245
CHEMBL2073673	O75751
CHEMBL2998	P56373
CHEMBL299	P17252
CHEMBL3045	P05771
CHEMBL2938	P05129
CHEMBL2996	Q05655
CHEMBL3582	Q02156
CHEMBL4040	P28482
CHEMBL1974	P36888
CHEMBL1862	P00519
CHEMBL4247	Q9UM73
CHEMBL2041	P07949
CHEMBL3385	P27361
CHEMBL1991	O14920
CHEMBL5976	P04792
CHEMBL2276	P45983
CHEMBL4202	Q9H2G2
CHEMBL4527	Q9UKE5
CHEMBL5145	P15056
CHEMBL4014	P42684
CHEMBL4282	P31749
CHEMBL2431	P31751
CHEMBL4816	Q9Y243
CHEMBL5310	P36896
CHEMBL5784	O60285
CHEMBL5285	Q99683
CHEMBL4722	O14965
CHEMBL4895	P30530
CHEMBL2250	P51451
CHEMBL3834	P51813
CHEMBL4601	Q13882
CHEMBL5650	Q8TDC3
CHEMBL5251	Q06187
CHEMBL4121	Q13554
CHEMBL2801	Q13557
CHEMBL2094128	P78396
CHEMBL4630	O14757
CHEMBL2527	O96017
CHEMBL2793	P48729
