,drug,smile
0,CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
1,CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
2,CHEMBL100012,CC(C)(C)c1cnc(CSc2cnc(Nc3cccnc3)s2)o1
3,CHEMBL100016,Oc1cccc(/C=C/c2cccc(O)c2)c1
4,CHEMBL100050,CN1/C(=C(C#N)\C(C#N)=C2\Sc3ccccc3N2C)Sc2ccccc21
5,CHEMBL100076,COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4CN4CCOCC4)ccc23)c(Cl)cc1Cl
6,CHEMBL100079,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(Cl)n(C(C)C)c2n1
7,CHEMBL100172,COCCOc1cc2c(cc1OC)Nc1ncnc(Nc3cc(OC)c(Cl)cc3Cl)c1C2
8,CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1
9,CHEMBL100220,COC(=O)Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2
10,CHEMBL100262,C[C@H]1O[C@@H](n2cc(-c3ccc(F)cc3)c3c(Nc4ccc(F)cc4)ncnc32)[C@H](O)[C@@H]1O
11,CHEMBL100305,COc1cc(OC)c2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2c1
12,CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1
13,CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2
14,CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1
15,CHEMBL100421,C[C@H]1O[C@@H](n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O
16,CHEMBL100446,O=C(O)c1cc(-c2ccc3c(O)ccc(O)c3c2)ccc1O
17,CHEMBL100473,N#CC(=C(/N)Sc1ccccc1N)/C(C#N)=C(/N)Sc1ccccc1N
18,CHEMBL100485,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2[nH]c3ccc(Br)cc3c21
19,CHEMBL100500,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(N)n(C(C)C)c2n1
20,CHEMBL100542,CCNc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1N
21,CHEMBL100551,COCCOc1cc2c(cc1OC)Cc1c(Nc3cc(OC)c(Cl)cc3Cl)ncnc1N2
22,CHEMBL100553,C(=C/c1cc(OCc2ccccc2)cc(OCc2ccccc2)c1)\c1ccc(OCc2ccccc2)cc1
23,CHEMBL100577,C(=C/c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1)\c1ccc(OCc2ccccc2)cc1
24,CHEMBL1006,NCCCNCCSP(=O)(O)O
25,CHEMBL100645,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(C)n(C(C)C)c2n1
26,CHEMBL100650,C(=C/c1cc(OCc2ccccc2)cc(OCc2ccccc2)c1)\c1cccc(OCc2ccccc2)c1
27,CHEMBL100651,COc1cc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c(Cl)cc1Cl
28,CHEMBL100664,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1
29,CHEMBL100670,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(O)n(C(C)C)c2n1
30,CHEMBL100675,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1
31,CHEMBL100687,C(=C/c1cc(OCc2ccccc2)cc(OCc2ccccc2)c1)\c1ccccc1
32,CHEMBL100714,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC
33,CHEMBL100734,COc1cc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2c(OC)c1OC
34,CHEMBL100735,CCOc1cc2c(N3CCN(/C(S)=N\Cc4ccccc4)CC3)ncnc2cc1OC
35,CHEMBL100736,CCOc1cc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2cc1OC
36,CHEMBL100775,Cc1cnc(Nc2ccccn2)s1
37,CHEMBL100811,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1
38,CHEMBL100818,COc1ccc2sc3c(c2c1)NC[C@H](C)NC3=O
39,CHEMBL100825,CCN1CCN(Cc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1
40,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
41,CHEMBL100922,Oc1ccc(/C=C/c2ccccc2)cc1O
42,CHEMBL100945,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl
43,CHEMBL100979,Cc1nc2ccccn2c1-c1ccnc(N)n1
44,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
45,CHEMBL101019,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1
